4303,"ELECTRONIC DATA STORAGE PROCESSING MACHINES, DIGITAL COMPUTERS, ANALOG COMPUTERS, ADDING MACHINES, CALCULATING MACHINES, MACHINES FOR DUPLICATING DOCUMENTS, TYPEWRITERS"
4304,PHOTO-TYPESETTING MACHINES
4306,COMPUTERS - INCLUDING ACCESSORIESAND PARTS THEREOF
4309,"ADDING MACHINES, CALCULATING MACHINES, CASH REGISTERS, MACHINES FOR DUPLICATING DOCUMENTS, TYPEWRITERS EXCLUDING ELECTRONIC DATA STORAGE-PROCESSING MACHINES, DIGITAL COMPUTERS, ANALOG COMPUTERS - INDIVIDUAL UNITS -"
4311,"ADDING MACHINES, COMPUTING MACHINES, TYPEWRITING MACHINES, DOCUMENT/LETTER DUPLICATING MACHINES"
4312,"ADDING MACHINES, CALCULATING MACHINES, CASH REGISTERS, MACHINES FOR DUPLICATING DOCUMENTS, TYPEWRITERS, ELECTRONIC DATA STORAGE-PROCESSING MACHINES, DIGITAL COMPUTERS, ANALOG COMPUTERS - INCLUDING INDIVIDUAL UNITS, PUNCH CARDS, TAPE -"
4313,"COMPUTER PUNCH CARDS, COMPUTER DATA SHEETS"
4314,"ELECTRONIC COMPONENTS (FABRICATED FOR ELECTRONIC COMPUTERS, AUXILIARY MACHINES)"
4315,MAGNETIC TAPES FOR DATA STORAGE
4316,"ELECTRONIC COMPUTERS, MACHINES FOR ACCOUNTING, BOOKKEEPING, CALCULATING, DATA PROCESSING - ALL OPERATED IN CONJUCTION WITH PUNCHED CARDS, TAPE - CARD PUNCHING MACHINES, CHECKING MACHINES (FOR PUNCHED CARDS), CONVERTERS (TAPE TO CARD, CARD TO TAPE, TELETYPE-TAPE TO CARD, CARD TO TELETYPETAPE), PUNCHED CARD MACHINES FOR COLLATING, INTERPOLATING, INTERPRETING, LISTING, MULTIPLYING, POSTING, REPRODUCING, SORTING, TABULATING AND VERIFYING"
4317,"PUNCH CARDS, TAPE, DATA SHEETS, DATA DISCS - FOR ELECTRONIC DATA STORAGE-PROCESSING MACHINES, DIGITAL COMPUTERS, ANALOG COMPUTERS -"
4318,"ADDING MACHINES, CALCULATING MACHINES, CASH REGISTERS, MACHINES FOR DUPLICATING DOCUMENTS, TYPEWRITERS (INCLUDING TYPEWRITER RIBBONS, TYPEWRITER TAPES)"
4319,"ELECTRONIC DATA STORAGE-PROCESSING MACHINES, DIGITAL COMPUTERS, ANALOG COMPUTERS - INDIVIDUAL UNITS - PUNCH CARDS, TAPE"
4321,TYPEWRITERS
4322,PHOTOCOPYING MACHINES (INCLUDING ACCESSORIES SUPPLIES)
4323,ELECTRONIC PRODUCTS (INCLUDING COMPONENTS)
4324,PRINTER FOR PERSONAL COMPUTER
4326,"DIGITAL COMPUTERS, ANALOG COMPUTERS - INCLUDING PUNCH CARDS, DISC PACKS, TAPES -, ELECTRONIC DATA STORAGE-PROCESSING MACHINES, MACHINES FOR DUPLICATING DOCUMENTS, TYPEWRITERS - INCLUDING OPERATION INSTRUCTIONS -"
4327,OFFICE MACHINES (INCLUDING SUPPLIES)
4329,ELECTRONIC PRODUCTS
4330,WORD PROCESSORS
4350,"INTEGRATED CIRCUITS, RELAYS, CONDENSORS, CAPACITORS, TRANSISTORS, SOLID-STATE SEMICONDUCTOR DEVICES, PORTABLE ELECTRONIC CALCULATORS"
4382,TYPEWRITER RIBBONS
4397,"ELECTRIC APPLIANCES, GAS APPLIANCES"
4400,ELECTRIC EQUIPMENT (EXCLUDING MACHINERY)
4401,ELECTRIC EQUIPMENT
4402,"ELECTRIC EQUIPMENT, ELECTRIC APPLIANCES EXCLUDING BUSINESS MACHINERY, OFFICE MACHINERY"
4403,"ELECTRONIC CONTROL PANELS (FOR RADAR STATIONS, POWER PLANTS, HEATING/COOLING INSTALLATIONS, SOUND RECORDING STUDIOS)"
4404,ELECTRICAL APPLIANCES
4405,BATTERIES
4409,ELECTRODES
4410,"COMMUNICATION DEVICES, SIGNAL DEVICES"
4411,"RADIOS, TELEVISIONS, RECORD PLAYERS, TAPE RECORDERS"
4412,"ELECTRIC EQUIPMENT, ELECTRIC APPLIANCES EXCLUDING COMPUTERS, OFFICE MACHINERY"
4413,"RADIOS, TELEVISIONS, RECORD PLAYERS, TAPE RECORDERS, LOUDSPEAKERS, AMPLIFIERS - INCLUDING ACCESSORIES -"
4414,"LOUD-SPEAKERS, TAPE RECORDERS, RECORD PLAYERS, RADIOS, AMPLIFIERS - INCLUDING ACCESSORIES -"
4415,"RADIOS, TAPE RECORDERS, RECORD PLAYERS, AERIALS"
4416,"AUTOMOBILE RADIOS, DICTATION MACHINES, HEARING AIDS, RECORDS, RECORDING TAPE, RECORDING WIRE, RADIOS, TELEVISIONS, SOUND RECORDING SETS, ELECTRICAPPLIANCES, LIGHTING FIXTURES, ENAMELLED WIRE, INSULATED WIRE, TELEPHONE APPARATUS, TELEGRAPH APPARATUS, TELETYPE APPARATUS, ELECTRONIC TUBES, SEMI-CONDUCTORS"
4417,"RADIOS, TELEVISIONS, RADIO-TELEVISION SETS, RADIO-PHONOGRAPH SETS, ELECTRIC HOUSEHOLD APPLIANCES"
4419,"TELEPHONE EQUIPMENT, RADIO-TELEPHONE EQUIPMENT - INCLUDING TESTING EQUIPMENT -"
4420,"RADIOS, TELEVISIONS, RADIO-TELEVISION SETS, PHONOGRAPH SETS"
4422,PARTS/COMPONENTS FOR THE MANUFACTURE OF TELECOMMUNICATION EQUIPMENT
4423,CONDENSERS
4425,LOUDSPEAKERS
