Code,AttributeName,AttributeValue
2B991,LicenseType,C62
2B992,LicenseType,C62
2B993,LicenseType,C62
2B996,LicenseType,C62
2B997,LicenseType,C62
2B998,LicenseType,C62
2B999,LicenseType,C62
2D991,LicenseType,C62
2D992,LicenseType,C62
2D994,LicenseType,C62
2E991,LicenseType,C62
2E994,LicenseType,C62
3A991,LicenseType,C62
3A992,LicenseType,C62
3A999,LicenseType,C62
3B991,LicenseType,C62
3B992,LicenseType,C62
3C992,LicenseType,C62
3D991,LicenseType,C62
3E991,LicenseType,C62
4A994,LicenseType,C62
4B994,LicenseType,C62
4C994,LicenseType,C62
4D993,LicenseType,C62
4D994,LicenseType,C62
4E992,LicenseType,C62
4E993,LicenseType,C62
5A991,LicenseType,C62
5A992,LicenseType,C62
5B991,LicenseType,C62
5C991,LicenseType,C62
5D991,LicenseType,C62
5D992,LicenseType,C62
5E991,LicenseType,C62
5E992,LicenseType,C62
6A991,LicenseType,C62
6A993,LicenseType,C62
6A994,LicenseType,C62
6A995,LicenseType,C62
6A996,LicenseType,C62
6A997,LicenseType,C62
6A999,LicenseType,C62
6B995,LicenseType,C62
6C992,LicenseType,C62
6C994,LicenseType,C62
6D992,LicenseType,C62
6D993,LicenseType,C62
6E992,LicenseType,C62
6E993,LicenseType,C62
7B994,LicenseType,C62
7D994,LicenseType,C62
7E994,LicenseType,C62
8A992,LicenseType,C62
8D992,LicenseType,C62
8E992,LicenseType,C62
9A990,LicenseType,C62
9A991,LicenseType,C62
9A992,LicenseType,C62
9B990,LicenseType,C62
9B991,LicenseType,C62
9D990,LicenseType,C62
9D991,LicenseType,C62
9E990,LicenseType,C62
9E991,LicenseType,C62
9E993,LicenseType,C62
0A501,LicenseType,C63
4A005,LicenseType,C64
4D001,LicenseType,C64
4D004,LicenseType,C64
4E001,LicenseType,C64
5A001,LicenseType,C64
5B001,LicenseType,C64
5D001,LicenseType,C64
5E001,LicenseType,C64
3A090,LicenseType,C67
4A090,LicenseType,C67
3A001,LicenseType,C67
4A003,LicenseType,C67
4A004,LicenseType,C67
4A005,LicenseType,C67
5A002,LicenseType,C67
5A004,LicenseType,C67
5A992,LicenseType,C67
5D002,LicenseType,C67
5D992,LicenseType,C67
3A090,LicenseType,C68
4A090,LicenseType,C68
3A001,LicenseType,C68
4A003,LicenseType,C68
4A004,LicenseType,C68
4A005,LicenseType,C68
5A002,LicenseType,C68
5A004,LicenseType,C68
5A992,LicenseType,C68
5D002,LicenseType,C68
5D992,LicenseType,C68
